ResponseID	ResponseSet	StartDate	EndDate	Finished	code	gender	firstasktreat	thankyouemploy	Q40	vignettebackground	interviewers	answersmatter	salaryrequest1	medsalaryguess	medsalarytold	Q35	vignetteagain	Q36	salaryrequest2	Q23	anspctgradjob	guesspctwork	anspctwork	guessavgsalary	ansavgsalary	Q17_1_TEXT	Q17_2_TEXT	Q17_3_TEXT	Q17_4_TEXT	Q18_1_TEXT	Q18_2_TEXT	Q18_3_TEXT	Q18_4_TEXT	current_happiness_1	ask_stc_10_mx25	ask_cruk_10_mx25a	Q19	DO-BR-FL_21	DO-BR-FL_22	DO-BR-FL_100	DO-BR-FL_132	DO-BR-FL_133	DO-BR-FL_138	DO-BR-FL_120	DO-BR-FL_121	DO-BR-FL_126	DO-BR-FL_108	DO-BR-FL_109	DO-BR-FL_114	DO-BR-FL_144	DO-BR-FL_145	DO-BR-FL_150	DO-BR-FL_158	DO-BR-FL_159	DO-BR-FL_164
R_2wGn2o3l5JIhp8Y	Default Response Set	27.06.2017 15:08	27.06.2017 15:11	1	ygujk4	male	domestic_hb	1	1	1	1	1	30	21	1	1	1	1	30	70	1	50	1	25	1	Quantity Surveyor	MPP	Construction	32	Quantity Surveyor	noot	Construction	50	Extremely unhappy		0	1										FL_114		FL_117|FL_115						
R_3e39BXZdCiRbcyL	Default Response Set	27.06.2017 15:05	27.06.2017 15:12	1	7g10ue	male	noask	1	1	1	1	1	700	650	1	1	1	1	21	60	1	30	1	16	1	Partner Manager	Connect	Accounting/Management	21	Business Analysist 	Incisive Ltd	It	80	Slightly happy	0		1	FL_22	FL_98|FL_97																
R_3L746xMKNNR22IX	Default Response Set	27.06.2017 15:07	27.06.2017 15:18	1	5p56no	female	noask	1	1	1	1	1	20	25	1	1	1	1	25	95	1	50	1	25	1	Graduate Recruitment Consultant (London - 5 places left!) 	Gravitas Recruitment Group 	Recruitment 	18	Graduate Recruitment Consultant - Reading 	Roc Search 	IT and Engineering 	40	Moderately happy		0	1	FL_100		FL_101|FL_103															
R_3PFh8BFJ9ZXaY50	Default Response Set	27.06.2017 15:07	27.06.2017 15:18	1	vem2n0	female	domestic_hb	1	1	1	1	1	19	20	1	1	1	1	21	80	1	60	1	60	1	Junior/Graduate Digital Website and Product Administrator	Mortimer Spinks a trading division of Harvey Nash Plc	digital marketing	20	Junior/Graduate Digital Website and Product Administrator	Mortimer Spinks a trading division of Harvey Nash Plc	digital website	26	Slightly happy	1		1										FL_109	FL_112|FL_110							
R_1mK2HZLqoHjjNWG	Default Response Set	27.06.2017 15:09	27.06.2017 15:20	1	119jxb	male	international_hb	1	1	1	1	1	35	32	1	1	1	1	20	15	1	65	1	26	1	Teacher	EF English First	Education	22250	Teacher	EF English First	Education 	30000	Moderately happy	0		1				FL_133	FL_136|FL_134													
R_1pAqHDDW0fqmSko	Default Response Set	27.06.2017 15:06	27.06.2017 15:20	1	4i90t0	female	noask	1	1	1	1	1	24	19	1	1	1	1	17	83	1	54	1	21	1	Product owner 	MA	retail	182	Account Manager	Fin tech	sales	35	Moderately unhappy	0		1	FL_22	FL_97|FL_98																
R_3g2dbdePz27Bhv3	Default Response Set	27.06.2017 15:10	27.06.2017 15:21	1	ajic3u	male	domestic_hb	1	1	1	1	1	24	23	1	1	1	1	23	91	1	30	1	23	1	Graduate Software Engineer	Not Specified	IT	33	Senior Software Engineer	Not Specified	IT	50	Moderately happy		0	1										FL_114		FL_115|FL_117						
R_1hA8mQ3ZIrKCE1G	Default Response Set	27.06.2017 15:15	27.06.2017 15:26	1	ixbfx9	female	noask	1	1	1	1	1	25	20	1	1	1	1	25	30	1	60	1	20	1	"Client Support Analyst - Foreign Exchange, Broking services"	Agency	Finance	25	Corporate Actions Analyst	agency	finance	27	Moderately happy		1	1	FL_100		FL_101|FL_103															
R_OHbGDrGRhcmgcZX	Default Response Set	27.06.2017 15:09	27.06.2017 15:26	1	hxdae2	female	international_hb	1	1	1	1	1	20	20	1	1	1	1	20	75	1	55	1	20	1	Trainee Recruitment Consultant 	Opus Recruitment Solutions 	HR	20	New Business Development Executive/Software Sales	Big Red Recruitment	"IT, Sales and Marketing"	33	Neither happy nor unhappy		0	1				FL_138		FL_141|FL_139												
R_2VQqjNwtnkhtspe	Default Response Set	27.06.2017 15:14	27.06.2017 15:27	1	943ses	male	domestic_hb	1	1	1	1	1	30	30	1	1	1	1	20	75	1	40	1	20	1	Research Analyst	Understanding Recruitment	Technology	30	Business Analyst	Incisive Ltd	Finance	80	Neither happy nor unhappy	0		1										FL_109	FL_112|FL_110							
R_1od6bbhvaLxCTIG	Default Response Set	27.06.2017 15:10	27.06.2017 15:27	1	tz5xwh	female	noask	1	1	1	1	1	19	24	1	1	1	1	19	30	1	70	1	15	1	Graduate content administrator 	Unknown 	Media	20	Project manager 	Unknown 	Media	30	Moderately happy		0	1	FL_100		FL_101|FL_103															
R_2UfTnRpCgLkjb6t	Default Response Set	27.06.2017 15:07	27.06.2017 15:31	1	kv58e4	female	domestic_hb	1	1	1	1	1	30	22	1	1	1	1	20	78	1	15	1	20	1	market data analysts/graduate trainee	ballintrea	"it, sales and marketing"	16	Project Manager Research and Development	elevate	science	32	Slightly unhappy		0	1										FL_114		FL_115|FL_117						
R_1q9bj20YuMEMn5o	Default Response Set	27.06.2017 15:07	27.06.2017 15:31	1	w0a1sn	male	noask	1	1	1	1	1	25	23	1	1	1	1	25	55	1	88	1	26	1	Infrastructure Support	Net Talent	IT	25	Senior Developer	Spectrum IT	IT	50	Neither happy nor unhappy	0		1	FL_22	FL_98|FL_97																
R_exs43FfrIo8c1nr	Default Response Set	27.06.2017 15:22	27.06.2017 15:33	1	y1fqpj	female	international_hb	1	1	1	1	1	20	22	1	1	1	1	22	60	1	60	1	17	1	Travel Nurse	RN	N/A	15	Nurse	Nhs	N/a	26	Moderately happy		0	1				FL_138		FL_141|FL_139												
R_PYBJ9hpdqZNc493	Default Response Set	27.06.2017 15:16	27.06.2017 15:33	1	qi42p2	male	noask	1	1	1	1	1	21	21	1	1	1	1	18	35	1	60	1	21	1	Teach English in China	EF English First	Education	30	Partner Manager	Eden Smith Limited	IT	35	Slightly happy		0	1	FL_100		FL_103|FL_101															
R_3FLh1hzP1Sy2Z59	Default Response Set	27.06.2017 15:24	27.06.2017 15:33	1	yqrczc	female	domestic_hb	1	1	1	1	1	25	18	1	1	1	1	25	20	1	30	1	20	1	ACCOUNT MANAGER	Canary Wharf	Fintech	35	account manager	Canary Wharf	fintech	40	Neither happy nor unhappy	9		1										FL_109	FL_110|FL_112							
R_9KuHX4hbB7UQAoN	Default Response Set	27.06.2017 15:20	27.06.2017 15:35	1	1k53kg	male	international_ha	1	1	1	1	1	20	15	1	1	1	1	22	15	1	40	1	20	1	Junior/Graduate Software Position	eCommerce Co. - Brighton	IT	20	"Management Accounts Assistant - CIMA, Graduate, London, Permanent"	The Workshop Technologies Ltd	Finance	25	Neither happy nor unhappy		0	1							FL_126		FL_127|FL_129									
R_2rYMPZWvXKVA1is	Default Response Set	27.06.2017 15:27	27.06.2017 15:35	1	crb3e2	male	noask	1	1	1	1	1	24	19	1	1	1	1	22	52	1	35	1	23	1	Graduate Content Administrator	Lorien	E-commerce	18000	Recruitment Coordinator	Resource Solutions	Recruitment	20000	Neither happy nor unhappy	0		1	FL_22	FL_98|FL_97																
R_3nSJJ0WAS2YJKIW	Default Response Set	27.06.2017 15:08	27.06.2017 15:35	1	9kvf9x	female	domestic_hb	1	1	1	1	1	25	30	1	1	1	1	23	60	1	45	1	20	1	"International Market Research Officer, Communications and External Relations"	University of Essex	Communications and External Relations	29301	Trainee Broker	Delphi Derivatives	Finance	20000	Slightly unhappy		0	1										FL_114		FL_115|FL_117						
R_1ign1p5NBHXqf5d	Default Response Set	27.06.2017 15:07	27.06.2017 15:39	1	mvnvbd	female	international_ha	1	1	1	1	1	25	20	1	1	1	1	30	60	1	80	1	25	1	Accounts Manager	Fintech	"IT, Finance, Sales, Marketing"	35	Senior Consultant	Venquis LTD	Finance	65	Slightly unhappy		0	1							FL_126		FL_129|FL_127									
R_W6dfOkpuIbjBNVn	Default Response Set	27.06.2017 15:35	27.06.2017 15:44	1	qt3bnq	female	noask	1	1	1	1	1	18	15	1	1	1	1	22	40	1	30	1	20	1	Teach english in china	Ef english first	Teaching 	25	Cant see one	N/a	Dunno	350	Neither happy nor unhappy		0	1	FL_100		FL_101|FL_103															
R_2rZof3ZHLBmtdIK	Default Response Set	27.06.2017 15:35	27.06.2017 15:44	1	fajrx6	female	international_hb	1	1	1	1	1	20	20	1	1	1	1	25	70	1	50	1	18	1	Accounts Assistant	Lynx recruitment	Finance	18	Credit controller	nine	finance	25	Moderately happy	0		1				FL_133	FL_136|FL_134													
R_1hRJNtYLTJw5FvF	Default Response Set	27.06.2017 15:31	27.06.2017 15:44	1	rrmy78	female	international_hb	1	1	1	1	1	30	20	1	1	1	1	18	20	1	15	1	15	1	Trainee Lawyer	Law firm 	Law firm 	18	Trainee Lawyer	Law firm 	Law firm 	18	Slightly happy	0		1				FL_133	FL_134|FL_136													
R_3HUON62tZsCpuTJ	Default Response Set	27.06.2017 15:32	27.06.2017 15:45	1	mg8xvk	female	noask	1	1	1	1	1	24	21	1	1	1	1	24	40	1	50	1	20	1	Recruitment Consultant	Roc Search Limited	Sales and Marketing	18	Business Development Executive	Swindale Parks Limited	Sales and Marketing	35	Neither happy nor unhappy	5		1	FL_22	FL_97|FL_98																
